original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
1004,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3000,?,y tú ?%mor: coord|y=and pro:sub|tú=you ?,%mor:
1005,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3002,.,a curar (.) el catarro .%mor: aprep|a=to inf|cura-INF=cure det:art|el&m&SG=the n|catarro&m=catarrh .,%mor:
1006,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3005,?,a curar el catarro (.) y qué te dijo ?%mor: aprep|a=to inf|cura-INF=cure det:art|el&m&SG=the n|catarro&m=catarrh coord|y=and pro:int|qué=what pro:obj|te=you v|deci-3S&PRET=say ?,%mor:
1007,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3009,!,oh (.) sí !%mor: co|oh=oh co|sí=yes !,%mor:
1008,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3011,?,y [/] y qué más ?%mor: coord|y=and pro:int|qué=what adv|más=more ?,%mor:
1009,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3013,.,nada más .%mor: pro:indef|nada=nothing adv|más=more .,%mor:
1010,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3015,?,nada más (.) pero no te dijo pues tómate un jarabe o tómate una pastilla (.) qué te dijo ?%mor: pro:indef|nada=nothing adv|más=more conj|pero=but adv|no=no pro:obj|te=you v|deci-3S&PRET=say co|pues=well imp|toma-2S&IMP~pro:clit|2S=take det:art|un&m=one n|jarabe&m=syrup coord|o=or imp|toma-2S&IMP~pro:clit|2S=take det:art|un-f=one n|pasta&f-DIM=paste pro:int|qué=what pro:obj|te=you v|deci-3S&PRET=say ?,%mor:
1011,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3023,.,un jarabe .%mor: det:art|un&m=one n|jarabe&m=syrup .,%mor:
1012,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3025,.,un jarabe (.) y se te curó .%mor: det:art|un&m=one n|jarabe&m=syrup coord|y=and pro:refl|se=itself pro:obj|te=you v|cura-3S&PRET=cure .,%mor:
1013,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3028,?,oye (.) y tú crees que los doctores son buenos ?%mor: co|oye=listen coord|y=and pro:sub|tú=you v|cree-2S&PRES=believe prep|que=than det:art|el&m-PL=the n|doctor&m-PL=doctor cop|se-3P&PRES=be adj|buen-m-PL=good ?,%mor:
1014,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3032,.,sí .%mor: co|sí=yes .,%mor:
1015,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3034,?,sí (.) por qué ?%mor: co|sí=yes prep|por=for pro:int|qué=what ?,%mor:
1016,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3036,.,porque sí .%mor: conj|porque=because co|sí=yes .,%mor:
1017,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3038,?,porque curan (.) a qué sí ?%mor: conj|porque=because v|cura-3P&PRES=cure aprep|a=to pro:int|qué=what co|sí=yes ?,%mor:
1018,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3041,.,sí .%mor: co|sí=yes .,%mor:
1019,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3043,?,y cuando fuiste al oculista (.) qué te dijo ?%mor: coord|y=and conj|cuando=when v|i-2S&PRET=go aprep|a~det:art|el&m=to n|oculista&m=opthalmologist pro:int|qué=what pro:obj|te=you v|deci-3S&PRET=say ?,%mor:
1020,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3047,.,me pincharon .%mor: pro:obj|me=me v|pincha-3P&PRET=pinch .,%mor:
1021,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3049,?,te pincharon (.) y eso ?%mor: pro:obj|te=you v|pincha-3P&PRET=pinch coord|y=and pro:dem|eso=that_one ?,%mor:
1022,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3052,.,son malos .%mor: cop|se-3P&PRES=be adj|malo-m-PL=bad .,%mor:
1023,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3054,?,no te gustan ?%mor: adv|no=no pro:obj|te=you v|gusta-3P&PRES=like ?,%mor:
1024,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3056,.,no [/] no [/] no .%mor: adv|no=no .,%mor:
1025,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3058,?,qué te hicieron mucho daño ?%mor: pro:int|qué=what pro:obj|te=you v|hace-3P&PRET=do adv|mucho=much v|daña-1S&PRES=harm ?,%mor:
1026,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3061,!,mucho daño !%mor: adv|mucho=much v|daña-1S&PRES=harm !,%mor:
1027,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3065,.,pero Sergio [/] Sergio venga un poquito (.) vale (.) venga .%mor: n|pero&m=excuse n:prop|Sergio co|venga=come_on det:art|un&m=one pro:indef|poquito=little co|vale=okay co|venga=come_on .,%mor:
1028,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3068,.,sí .%mor: co|sí=yes .,%mor:
1029,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3070,?,escúchame (.) pero (.) no te miró el oculista el ojo ?%mor: imp|escucha-2S&IMP~pro:clit|1S=listen conj|pero=but adv|no=no pro:obj|te=you v|mira-3S&PRET=look det:art|el&m&SG=the n|oculista&m=opthalmologist det:art|el&m&SG=the n|ojo&m=eye ?,%mor:
1030,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3074,.,no .%mor: adv|no=no .,%mor:
1031,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3076,?,sí (.) no [/] no te dijo abre el ojo Sergio (.) no ?%mor: co|sí=yes adv|no=no pro:obj|te=you v|deci-3S&PRET=say v|abri-3S&PRES=open det:art|el&m&SG=the n|ojo&m=eye n:prop|Sergio adv|no=no ?,%mor:
1032,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3080,.,no .%mor: adv|no=no .,%mor:
1033,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3082,?,por ?%mor: prep|por=for ?,%mor:
1034,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3084,.,me [/] me hizo pupa .%mor: pro:obj|me=me v|hace-3S&PRET=do n|pupa&f=pimple .,%mor:
1035,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3086,?,y no te han dado un [/] un palo (.) así un palo largo el [/] el doctor (.) sí (.) qué te dijo (.) toma chupa el palo (.) no ?%mor: coord|y=and adv|no=no pro:obj|te=you aux|habe-3P&PRES=have part|da-PPART-m=give det:art|un&m=one n|palo&m=stick adv|así=thus det:art|un&m=one n|palo&m=stick adj|largo-m=long det:art|el&m&SG=the n|doctor&m=doctor co|sí=yes pro:int|qué=what pro:obj|te=you v|deci-3S&PRET=say v|toma-3S&PRES=take v|chupa-3S&PRES=suck det:art|el&m&SG=the n|palo&m=stick adv|no=no ?,%mor:
1036,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3094,.,sí .%mor: co|sí=yes .,%mor:
1037,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3098,?,y no te gusta eso ?%mor: coord|y=and adv|no=no pro:obj|te=you v|gusta-3S&PRES=like pro:dem|eso=that_one ?,%mor:
1038,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3101,.,oye [/] oye ponemos la radio ahora .%mor: co|oye=listen v|pone-1P&PRES=put det:art|el&f&SG=the n|radio&m=radius adv|ahora=now .,%mor:
1039,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3104,?,sí ?%mor: co|sí=yes ?,%mor:
1040,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3106,.,sí .%mor: co|sí=yes .,%mor:
1041,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3108,?,y no me vas a contar más ?%mor: coord|y=and adv|no=no pro:obj|me=me v|i-2S&PRES=go aprep|a=to inf|conta-INF=count_tell adv|más=more ?,%mor:
1042,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3111,.,no [/] no [/] no (.) más no .%mor: adv|no=no adv|más=more adv|no=no .,%mor:
1043,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3113,?,no me vas a contar más ?%mor: adv|no=no pro:obj|me=me v|i-2S&PRES=go aprep|a=to inf|conta-INF=count_tell adv|más=more ?,%mor:
1044,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3116,!,no porque (.) ya no hay más !%mor: co|no=no conj|porque=because adv|ya=already adv|no=no v|habe-3S&PRES&SPEC=have adv|más=more !,%mor:
1045,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3119,.,ya no hay más que contar .%mor: adv|ya=already adv|no=no v|habe-3S&PRES&SPEC=have adv|más=more prep|que=than inf|conta-INF=count_tell .,%mor:
1046,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3122,.,no [/] no hay más que contar .%mor: adv|no=no v|habe-3S&PRES&SPEC=have adv|más=more prep|que=than inf|conta-INF=count_tell .,%mor:
1047,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3125,?,te ha gustado hablar conmigo ?%mor: pro:obj|te=you aux|habe-3S&PRES=have part|gusta-PPART-m=like inf|habla-INF=speak adv|conmigo=with_me ?,%mor:
1048,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3128,.,sí .%mor: co|sí=yes .,%mor:
1049,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3130,?,sí (.) te gusta hablar ?%mor: co|sí=yes pro:obj|te=you v|gusta-3S&PRES=like inf|habla-INF=speak ?,%mor:
1050,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3132,.,sí .%mor: co|sí=yes .,%mor:
1051,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3134,?,y qué es lo que más te gusta (.) leer o escribir ?%mor: coord|y=and pro:int|qué=what cop|se-3S&PRES=be pro:obj|lo&m=him pro:rel|que=that adv|más=more pro:obj|te=you v|gusta-3S&PRES=like inf|lee-INF=read coord|o=or inf|escribi-INF=write ?,%mor:
1052,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3138,.,escribir .%mor: inf|escribi-INF=write .,%mor:
1053,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3140,?,escribir (.) pero tú sabes escribir ?%mor: inf|escribi-INF=write conj|pero=but pro:sub|tú=you v|sabe-2S&PRES=know inf|escribi-INF=write ?,%mor:
1054,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3143,.,con esto [= pizarra] .%mor: prep|con=with pro:dem|esto=this_one .,%mor:
1055,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3145,?,sí ?%mor: co|sí=yes ?,%mor:
1056,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3147,.,sí .%mor: co|sí=yes .,%mor:
1057,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3149,?,escribes bien ?%mor: v|escribi-2S&PRES=write adv|bien=well ?,%mor:
1058,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3151,.,sí (.) muy bien .%mor: co|sí=yes adv|muy=very adv|bien=well .,%mor:
1059,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3156,?,cuántos cuentos lees ?%mor: pro:int|cuánto-m-PL=how_much n|cuento&m-PL=story v|lee-2S&PRES=read ?,%mor:
1060,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3159,.,dos .%mor: det:num|dos=two .,%mor:
1061,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3165,.,no tengo Caperucita .%mor: adv|no=no v|tene-1S&PRES=have n:prop|Caperucita .,%mor:
1062,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3167,?,y Zipi_Zape (.) a qué sí ?%mor: coord|y=and n:prop|Zipi_Zape aprep|a=to pro:int|qué=what co|sí=yes ?,%mor:
1063,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3170,!,mentirosa !%mor: n|mentirosa&f=liar !,%mor:
1064,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3172,?,no lo tienes ?%mor: adv|no=no pro:obj|lo&m=him v|tene-2S&PRES=have ?,%mor:
1065,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3174,.,no [/] no .%mor: adv|no=no .,%mor:
1066,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3176,?,por qué ?%mor: prep|por=for pro:int|qué=what ?,%mor:
1067,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3180,?,eh (.) y ese quién es (.) ese es Zipi_Zape (.) no ?%mor: co|eh coord|y=and det:dem|ese=that pro:int|quién=who cop|se-3S&PRES=be det:dem|ese=that cop|se-3S&PRES=be n:prop|Zipi_Zape adv|no=no ?,%mor:
1068,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3184,.,no .%mor: adv|no=no .,%mor:
1069,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3186,.,oye pero sabes una cosa a mí me gusta mucho más Caperucita .%mor: co|oye=listen conj|pero=but v|sabe-2S&PRES=know det:art|un-f=one n|cosa&f=thing aprep|a=to pro:prep|mí=me pro:obj|me=me v|gusta-3S&PRES=like adv|mucho=much adv|más=more n:prop|Caperucita .,%mor:
1070,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3190,.,oye pero ya acabó .%mor: co|oye=listen conj|pero=but adv|ya=already v|acaba-3S&PRET=finish .,%mor:
1071,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3192,?,ya acabó ?%mor: adv|ya=already v|acaba-3S&PRET=finish ?,%mor:
1072,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3194,.,sí .%mor: co|sí=yes .,%mor:
1073,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3196,?,y (.) no te gusta Caperucita ?%mor: coord|y=and adv|no=no pro:obj|te=you v|gusta-3S&PRES=like n:prop|Caperucita ?,%mor:
1074,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3199,.,no [/] no .%mor: adv|no=no .,%mor:
1075,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3201,.,no [/] no [/] no .%mor: adv|no=no .,%mor:
1076,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3205,?,y eso (.) oye pero es que el lobo era muy malo (.) eh (.) no te parece ?%mor: coord|y=and pro:dem|eso=that_one v|oí-3S&PRES=hear n|pero&m=excuse cop|se-3S&PRES=be prep|que=than det:art|el&m&SG=the n|lobo-m=wolf cop|se-13S&PAS=be adv|muy=very adj|malo-m=bad co|eh adv|no=no pro:obj|te=you v|parece-3S&PRES=seem ?,%mor:
1077,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3211,.,oye [/] oye .%mor: co|oye=listen .,%mor:
1078,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3213,.,dime .%mor: imp|deci-2S&IMP~pro:clit|1S=say .,%mor:
1079,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3215,.,oye [/] oye [/] oye [/] oye [/] oye .%mor: co|oye=listen .,%mor:
1080,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3217,?,qué ?%mor: pro:int|qué=what ?,%mor:
1081,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3219,?,ponemos la radio ?%mor: v|pone-1P&PRES=put det:art|el&f&SG=the n|radio&m=radius ?,%mor:
1082,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3221,?,sí [/] sí pero (.) no vas a hablar más ?%mor: co|sí=yes conj|pero=but adv|no=no v|i-2S&PRES=go aprep|a=to inf|habla-INF=speak adv|más=more ?,%mor:
1083,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3224,.,<no más> [/] no más (.) no .%mor: adv|no=no adv|más=more adv|no=no .,%mor:
1084,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3226,?,<más no> [/] más no ?%mor: adv|más=more adv|no=no ?,%mor:
1085,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3228,.,no .%mor: adv|no=no .,%mor:
1086,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3230,?,por qué ?%mor: prep|por=for pro:int|qué=what ?,%mor:
1087,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3235,?,entonces nos vamos a despedir (.) vale ?%mor: adv|entonces=then pro:obj|nos=us v|i-1P&PRES=go aprep|a=to inf|despedi-INF=dismiss co|vale=okay ?,%mor:
1088,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3238,.,despedir .%mor: inf|despedi-INF=dismiss .,%mor:
1089,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3240,?,y qué le vamos a decir ?%mor: coord|y=and pro:int|qué=what pro:ind|le=him v|i-1P&PRES=go aprep|a=to inf|deci-INF=say ?,%mor:
1090,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3247,?,qué dijo David ?%mor: pro:int|qué=what v|deci-3S&PRET=say n:prop|David ?,%mor:
1091,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3249,.,que la pusiéramos .%mor: prep|que=than det:art|el&f&SG=the v|pone-1P&SUB&PAS=put .,%mor:
1092,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3251,.,sí .%mor: co|sí=yes .,%mor:
1093,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3255,.,entonces yo xxx .%mor: adv|entonces=then pro:sub|yo=I .,%mor:
1094,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3257,?,tienes una espada (.) qué bonita (.) eh (.) (.) qué es la espada del príncipe (.) sí ?%mor: v|tene-2S&PRES=have det:art|un-f=one n|espada&f=sword pro:int|qué=what co:voc|bonita=pretty co|eh pro:int|qué=what cop|se-3S&PRES=be det:art|el&f&SG=the n|espada&f=sword prep|de~det:art|el&m=of n|príncipe&m=prince co|sí=yes ?,%mor:
1095,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3263,.,sí .%mor: co|sí=yes .,%mor:
1096,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3265,?,bueno entonces nos vamos a despedir (.) vale (.) y qué le vamos a decir ?%mor: co|bueno=good adv|entonces=then pro:obj|nos=us v|i-1P&PRES=go aprep|a=to inf|despedi-INF=dismiss co|vale=okay coord|y=and pro:int|qué=what pro:ind|le=him v|i-1P&PRES=go aprep|a=to inf|deci-INF=say ?,%mor:
1097,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3271,?,que dijo David que la poniéramos [*] (.) eh ?%mor: pro:rel|que=that v|deci-3S&PRET=say n:prop|David prep|que=than det:art|el&f&SG=the ?|poniéramos co|eh ?,%mor:
1098,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3275,.,pero &=rie venga vale (.) venga entonces vamos a decir (.) hasta luego radio (.) vale (.) venga a_ver dilo .%mor: n|pero&m=excuse co|venga=come_on co|vale=okay co|venga=come_on adv|entonces=then v|i-1P&PRES=go aprep|a=to inf|deci-INF=say prep|hasta=until adv|luego=afterwards n|radio&m=radius co|vale=okay co|venga=come_on co|a_ver=lets_see imp|deci-2S&IMP~pro:clit|OBJ&m=say .,%mor:
1099,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3282,?,sí (.) pero tienes que decirle adiós (.) vale ?%mor: co|sí=yes conj|pero=but v|tene-2S&PRES=have prep|que=than inf|deci-INF~pro:clit|3S=say co|adiós=goodbye co|vale=okay ?,%mor:
1100,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3285,.,adiós .%mor: co|adiós=goodbye .,%mor:
1101,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3287,!,dile (.) venga adiós !%mor: imp|deci-2S&IMP~pro:clit|3S=say co|venga=come_on co|adiós=goodbye !,%mor:
1102,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,3289,.,adiós .%mor: co|adiós=goodbye .,%mor:
1103,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,3291,!,venga anda (.) hasta luego !%mor: co|venga=come_on v|anda-3S&PRES=walk prep|hasta=until adv|luego=afterwards !,%mor:
1104,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,9,?,bueno Dani (.) me cuentas un cuento ?%mor: co|bueno=good n:prop|Dani pro:obj|me=me v|conta-2S&PRES=count_tell det:art|un&m=one n|cuento&m=story ?,%mor:
1105,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,12,.,sí .%mor: co|sí=yes .,%mor:
1106,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,14,?,a_ver (.) sabes el de Caperucita_Roja ?%mor: co|a_ver=lets_see v|sabe-2S&PRES=know det:art|el&m&SG=the prep|de=of n:prop|Caperucita_Roja ?,%mor:
1107,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,17,.,no (.) tenu [*] e [*] de Bancanieve [*] y e [*] [/] e [*] [/] e [*] de lo [*] xxx .%mor: adv|no=no ?|tenu coord|e=and prep|de=of n:prop|Bancanieve coord|y=and coord|e=and prep|de=of pro:obj|lo&m=him .,%mor:
1108,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,24,?,sabes el de Blancanieves ?%mor: v|sabe-2S&PRES=know det:art|el&m&SG=the prep|de=of n:prop|Blancanieves ?,%mor:
1109,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,27,.,y el de los serditos [*] .%mor: coord|y=and det:art|el&m&SG=the prep|de=of det:art|el&m-PL=the ?|serditos .,%mor:
1110,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,31,!,ah (.) el de los cerditos !%mor: co|ah det:art|el&m&SG=the prep|de=of det:art|el&m-PL=the n|cerdo&m-DIM-PL=hog !,%mor:
1111,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,34,!,bueno (.) pues cuéntame el de Blancanieves !%mor: co|bueno=good co|pues=well imp|conta-2S&IMP~pro:clit|1S=count_tell det:art|el&m&SG=the prep|de=of n:prop|Blancanieves !,%mor:
1112,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,37,.,xxx .,%mor:
1113,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,38,.,xxx .,%mor:
1114,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,39,!,cuéntame el de Blancanieves (.) vida !%mor: imp|conta-2S&IMP~pro:clit|1S=count_tell det:art|el&m&SG=the prep|de=of n:prop|Blancanieves n|vida&f=life !,%mor:
1115,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,42,.,Bancanieves [*] fue a un &bo (.) boque [*] .%mor: n:prop|Bancanieves v|i-3S&PRET=go aprep|a=to det:art|un&m=one ?|boque .,%mor:
1116,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,47,?,sí ?%mor: co|sí=yes ?,%mor:
1117,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,49,.,sí .%mor: co|sí=yes .,%mor:
1118,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,51,.,sigue (.) sigue .%mor: v|segui-3S&PRES=follow v|segui-3S&PRES=follow .,%mor:
1119,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,53,.,Bancanieves [*] xxx y vio una buja [*] que tenía una mansana [*] pala [*] comel [*] .%mor: n:prop|Bancanieves coord|y=and v|ve-3S&PRET=see pro:indef|una=one ?|buja conj|que=that v|tene-13S&PAS=have pro:indef|una=one ?|mansana n|pala&f=wooden_shovel ?|comel .,%mor:
1120,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,61,!,ah !%mor: co|ah !,%mor:
1121,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,63,.,xxx y estaban todo [*] &ena enanito [*] llolando [*] .%mor: coord|y=and cop|esta-3P&PAS=be pro:indef|todo-m=all n|enano&m-DIM=dwarf ?|llolando .,%mor:
1122,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,68,!,aaay !%mor: ?|aaay !,%mor:
1123,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,70,.,ya te [*] acabó (.) ya te [*] acabó el cueto [*] .%mor: adv|ya=already pro:obj|te=you v|acaba-3S&PRET=finish adv|ya=already pro:obj|te=you v|acaba-3S&PRET=finish det:art|el&m&SG=the ?|cueto .,%mor:
1124,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,75,?,ya se acabó el cuento ?%mor: adv|ya=already pro:refl|se=itself v|acaba-3S&PRET=finish det:art|el&m&SG=the n|cuento&m=story ?,%mor:
1125,02dtz30m.cha,spa,DiezItza,CHI,3;00.11,.,.,.,Target_Child,.,.,78,.,sí .%mor: co|sí=yes .,%mor:
1126,02dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,80,.,bueno .%mor: co|bueno=good .,%mor:
