original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
791,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1309,.,"y varias veces, sí, xxx .%mor: coord|y=and adj|vario-f-PL=diverse n|vez&f-PL=turn cm|cm co|sí=yes cm|cm .",%mor:,0,,,0,0,0,,,,,
792,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1312,v|tene-3s&pres=have,y ahora que tiene tres año(s) y piquito(s) +...%mor: coord|y=and adv|ahora=now pro:rel|que=that v|tene-3S&PRES=have det:num|tres=three n|año&m-PL=year coord|y=and n|pico&m-DIM-PL=beak +...,%mor:,0,,,0,0,0,,,,,
793,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1312,v|tene-3s&pres=have,y ahora que tiene tres año(s) y piquito(s) +...%mor: coord|y=and adv|ahora=now pro:rel|que=that v|tene-3S&PRES=have det:num|tres=three n|año&m-PL=year coord|y=and n|pico&m-DIM-PL=beak +...,%svd:,tener,0,1,3,s,pres,,switch,,,
794,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1316,.,varias veces fuimos y volvimos .%mor: adj|vario-f-PL=diverse n|vez&f-PL=turn cop|se-1P&PRET=be coord|y=and v|volve-1P&PRES&PRET=turn .,%mor:,0,,,0,0,0,,,,,
795,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1316,cop|se-1p&pret=be,varias veces fuimos y volvimos .%mor: adj|vario-f-PL=diverse n|vez&f-PL=turn cop|se-1P&PRET=be coord|y=and v|volve-1P&PRES&PRET=turn .,%svd:,ir,0,1,1,p,pret,,switch,,,
796,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1316,v|volve-1p&pres&pret=turn,varias veces fuimos y volvimos .%mor: adj|vario-f-PL=diverse n|vez&f-PL=turn cop|se-1P&PRET=be coord|y=and v|volve-1P&PRES&PRET=turn .,%svd:,volver,0,1,1,p,pres,same,same,,,
797,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1319,.,por eso fue el motivo que yo le pedí el permiso a su papá .%mor: prep|por=for pro:dem|eso=that_one v|i-3S&PRET=go det:art|el&m&SG=the n|motivo&m=motive pro:rel|que=that pro:sub|yo=I pro:ind|le=him imp|pedi-2S&IMP=request det:art|el&m&SG=the n|permiso&m=permission aprep|a=to det:poss|su&3S=his n|papá&m=papa .,%mor:,0,,,0,0,0,,,,,
798,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1319,v|i-3s&pret=go,por eso fue el motivo que yo le pedí el permiso a su papá .%mor: prep|por=for pro:dem|eso=that_one v|i-3S&PRET=go det:art|el&m&SG=the n|motivo&m=motive pro:rel|que=that pro:sub|yo=I pro:ind|le=him imp|pedi-2S&IMP=request det:art|el&m&SG=the n|permiso&m=permission aprep|a=to det:poss|su&3S=his n|papá&m=papa .,%svd:,ir,0,0,3,s,pret,,,,,
799,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1324,aux|esta-1s&pres=be,pero como te estoy contando +...%mor: conj|pero=but adv|como=like pro:obj|te=you aux|esta-1S&PRES=be part|conta-PROG=count_tell +...,%mor:,0,,,0,0,0,,,,,
800,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1324,aux|esta-1s&pres=be,pero como te estoy contando +...%mor: conj|pero=but adv|como=like pro:obj|te=you aux|esta-1S&PRES=be part|conta-PROG=count_tell +...,%svd:,estar,0,1,1,s,pres,,switch,,,
801,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1327,.,"tengo que a ver, solucionar eso .%mor: v|tene-1S&PRES=have pro:rel|que=that aprep|a=to inf|ve-INF=see cm|cm inf|soluciona-INF=solve pro:dem|eso=that_one .",%mor:,0,,,0,0,0,,,,,
802,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1327,v|tene-1s&pres=have,"tengo que a ver, solucionar eso .%mor: v|tene-1S&PRES=have pro:rel|que=that aprep|a=to inf|ve-INF=see cm|cm inf|soluciona-INF=solve pro:dem|eso=that_one .",%svd:,tener,0,1,1,s,pres,,same,,,
803,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1330,?,"y, pero vos, vos naciste en Paraguay ?%mor: coord|y=and cm|cm conj|pero=but pro:obj|vos=you cm|cm pro:obj|vos=you v|nace-2S&PRET=be_born prep|en=in n:prop|Paraguay ?",%mor:,0,,,0,0,0,,,,,
804,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1330,v|nace-2s&pret=be_born,"y, pero vos, vos naciste en Paraguay ?%mor: coord|y=and cm|cm conj|pero=but pro:obj|vos=you cm|cm pro:obj|vos=you v|nace-2S&PRET=be_born prep|en=in n:prop|Paraguay ?",%svd:,nacer,1,1,2,s,pret,,,,,
805,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1333,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
806,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1335,.,perfecto .%mor: adj|perfecto-m=perfect .,%mor:,0,,,0,0,0,,,,,
807,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1337,.,&unjú .,%mor:,0,,,0,0,0,,,,,
808,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1338,v|veni-2s&pret=come,entonces viniste acá desde +...%mor: adv|entonces=then v|veni-2S&PRET=come adv|acá=there prep|desde=from +...,%mor:,0,,,0,0,0,,,,,
809,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1338,v|veni-2s&pret=come,entonces viniste acá desde +...%mor: adv|entonces=then v|veni-2S&PRET=come adv|acá=there prep|desde=from +...,%svd:,venir,0,1,2,s,pret,,,,,
810,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1341,?,desde Paraguay te viniste directamente acá ?%mor: prep|desde=from n:prop|Paraguay pro:obj|te=you v|veni-2S&PRET=come adv:adj|directo-ADV=direct adv|acá=there ?,%mor:,0,,,0,0,0,,,,,
811,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1341,v|veni-2s&pret=come,desde Paraguay te viniste directamente acá ?%mor: prep|desde=from n:prop|Paraguay pro:obj|te=you v|veni-2S&PRET=come adv:adj|directo-ADV=direct adv|acá=there ?,%svd:,venir,0,1,2,s,pret,,same,,,
812,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1344,.,"acá, xxx acá .%mor: adv|acá=there cm|cm adv|acá=there .",%mor:,0,,,0,0,0,,,,,
813,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1346,.,increíble .%mor: adj|increíble=incredible .,%mor:,0,,,0,0,0,,,,,
814,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,1348,!,nunca más salí !%mor: adv|nunca=never adv|más=more imp|sali-2S&IMP=leave !,%mor:,0,,,0,0,0,,,,,
815,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1350,.,acá en Barracas .%mor: adv|acá=there prep|en=in n:prop|Barracas .,%mor:,0,,,0,0,0,,,,,
816,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1352,.,"y no te dan ganas de volver a Paraguay, no .%mor: coord|y=and adv|no=no pro:obj|te=you v|da-3P&PRES=give v|gana-2S&PRES=win prep|de=of inf|volve-INF=turn aprep|a=to n:prop|Paraguay cm|cm co|no=no .",%mor:,0,,,0,0,0,,,,,
817,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1352,v|da-3p&pres=give,"y no te dan ganas de volver a Paraguay, no .%mor: coord|y=and adv|no=no pro:obj|te=you v|da-3P&PRES=give v|gana-2S&PRES=win prep|de=of inf|volve-INF=turn aprep|a=to n:prop|Paraguay cm|cm co|no=no .",%svd:,dar,na,na,na,na,na,na,na,na,gustar-type verb,
818,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1352,v|gana-2s&pres=win,"y no te dan ganas de volver a Paraguay, no .%mor: coord|y=and adv|no=no pro:obj|te=you v|da-3P&PRES=give v|gana-2S&PRES=win prep|de=of inf|volve-INF=turn aprep|a=to n:prop|Paraguay cm|cm co|no=no .",%svd:,ganar,na,na,na,na,na,na,na,na,tag error,
819,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1356,?,a vivir ?%mor: aprep|a=to inf|vivi-INF=live ?,%mor:,0,,,0,0,0,,,,,
820,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1362,.,"&eh, dije que sí, &eh .%mor: cm|cm v|deci-1S&PRET=say conj|que=that co|sí=yes cm|cm .",%mor:,0,,,0,0,0,,,,,
821,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1362,v|deci-1s&pret=say,"&eh, dije que sí, &eh .%mor: cm|cm v|deci-1S&PRET=say conj|que=that co|sí=yes cm|cm .",%svd:,decir,0,1,1,s,pret,,,,,
822,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1364,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
823,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1366,.,hasta que murió mi abuela .%mor: prep|hasta=until pro:rel|que=that v|mori-3S&PRET=die det:poss|mi=my n|abuelo-f=grandparent .,%mor:,0,,,0,0,0,,,,,
824,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1366,v|mori-3s&pret=die,hasta que murió mi abuela .%mor: prep|hasta=until pro:rel|que=that v|mori-3S&PRET=die det:poss|mi=my n|abuelo-f=grandparent .,%svd:,morir,DP-def,1,3,s,pret,,,,,
825,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1369,.,"&eh, fue, yo, &k, me crié con mi abuela .%mor: cm|cm cop|se-3S&PRET=be cm|cm pro:sub|yo=I cm|cm cm|cm pro:obj|me=me v|cria-1S&PRET=raise prep|con=with det:poss|mi=my n|abuelo-f=grandparent .",%mor:,0,,,0,0,0,,,,,
826,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1369,cop|se-3s&pret=be,"&eh, fue, yo, &k, me crié con mi abuela .%mor: cm|cm cop|se-3S&PRET=be cm|cm pro:sub|yo=I cm|cm cm|cm pro:obj|me=me v|cria-1S&PRET=raise prep|con=with det:poss|mi=my n|abuelo-f=grandparent .",%svd:,ser,0,0,3,s,pret,,,,,
827,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1369,v|cria-1s&pret=raise,"&eh, fue, yo, &k, me crié con mi abuela .%mor: cm|cm cop|se-3S&PRET=be cm|cm pro:sub|yo=I cm|cm cm|cm pro:obj|me=me v|cria-1S&PRET=raise prep|con=with det:poss|mi=my n|abuelo-f=grandparent .",%svd:,criar,0,1,1,s,pret,switch,switch,,,
828,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1373,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
829,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1375,.,entonces hasta que murió mi abuela .%mor: adv|entonces=then prep|hasta=until pro:rel|que=that v|mori-3S&PRET=die det:poss|mi=my n|abuelo-f=grandparent .,%mor:,0,,,0,0,0,,,,,
830,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1375,v|mori-3s&pret=die,entonces hasta que murió mi abuela .%mor: adv|entonces=then prep|hasta=until pro:rel|que=that v|mori-3S&PRET=die det:poss|mi=my n|abuelo-f=grandparent .,%svd:,morir,DP-def,1,3,s,pret,,,,,
831,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1381,.,no .%mor: adv|no=no .,%mor:,0,,,0,0,0,,,,,
832,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1383,cop|se-3s&pres=be,"y ahora, por ejemplo, la idea con él es +...%mor: coord|y=and adv|ahora=now cm|cm prep|por=for n|ejemplo&m=example cm|cm det:art|el&f&SG=the n|idea&f=idea prep|con=with pro:sub|él&m=he cop|se-3S&PRES=be +...",%mor:,0,,,0,0,0,,,,,
833,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1383,cop|se-3s&pres=be,"y ahora, por ejemplo, la idea con él es +...%mor: coord|y=and adv|ahora=now cm|cm prep|por=for n|ejemplo&m=example cm|cm det:art|el&f&SG=the n|idea&f=idea prep|con=with pro:sub|él&m=he cop|se-3S&PRES=be +...",%svd:,ser,DP-def,0,3,s,pres,,,,,
834,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1387,.,nosotros vivimos en un alquiler .%mor: pro:sub|nosotro-m-PL=we v|vivi-1P&PRES&PRET=live prep|en=in det:art|un&m=one n|alquiler&m=wages .,%mor:,0,,,0,0,0,,,,,
835,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1387,v|vivi-1p&pres&pret=live,nosotros vivimos en un alquiler .%mor: pro:sub|nosotro-m-PL=we v|vivi-1P&PRES&PRET=live prep|en=in det:art|un&m=one n|alquiler&m=wages .,%svd:,vivir,0,1,1,p,pres,,switch,,,
836,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1390,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
837,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1392,cop|se-3s&pres=be,"y la idea es, hay que, ahora que voy a empezar a trabajar +...%mor: coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be cm|cm v|habe-3S&PRES&SPEC=have pro:rel|que=that cm|cm adv|ahora=now pro:rel|que=that v|i-1S&PRES=go aprep|a=to inf|empeza-INF=begin aprep|a=to inf|trabaja-INF=work +...",%mor:,0,,,0,0,0,,,,,
838,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1392,cop|se-3s&pres=be,"y la idea es, hay que, ahora que voy a empezar a trabajar +...%mor: coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be cm|cm v|habe-3S&PRES&SPEC=have pro:rel|que=that cm|cm adv|ahora=now pro:rel|que=that v|i-1S&PRES=go aprep|a=to inf|empeza-INF=begin aprep|a=to inf|trabaja-INF=work +...",%svd:,ser,DP-def,0,3,s,pres,,,,,
839,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1392,v|habe-3s&pres&spec=have,"y la idea es, hay que, ahora que voy a empezar a trabajar +...%mor: coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be cm|cm v|habe-3S&PRES&SPEC=have pro:rel|que=that cm|cm adv|ahora=now pro:rel|que=that v|i-1S&PRES=go aprep|a=to inf|empeza-INF=begin aprep|a=to inf|trabaja-INF=work +...",%svd:,haber,na,na,na,na,na,na,na,na,impersonal,
840,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1392,v|i-1s&pres=go,"y la idea es, hay que, ahora que voy a empezar a trabajar +...%mor: coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be cm|cm v|habe-3S&PRES&SPEC=have pro:rel|que=that cm|cm adv|ahora=now pro:rel|que=that v|i-1S&PRES=go aprep|a=to inf|empeza-INF=begin aprep|a=to inf|trabaja-INF=work +...",%svd:,ir,0,1,1,s,pres,,switch,,,
841,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1397,.,"y ver, y a ver si podemos juntar algo y compararnos una casa .%mor: coord|y=and inf|ve-INF=see cm|cm coord|y=and aprep|a=to inf|ve-INF=see conj|si=if v|pode-1P&PRES=can inf|junta-INF=assemble pro:dem|algo=something coord|y=and inf|compara-INF~pro:clit|1P=compare det:art|un-f=one n|casa&f=house .",%mor:,0,,,0,0,0,,,,,
842,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1397,v|pode-1p&pres=can,"y ver, y a ver si podemos juntar algo y compararnos una casa .%mor: coord|y=and inf|ve-INF=see cm|cm coord|y=and aprep|a=to inf|ve-INF=see conj|si=if v|pode-1P&PRES=can inf|junta-INF=assemble pro:dem|algo=something coord|y=and inf|compara-INF~pro:clit|1P=compare det:art|un-f=one n|casa&f=house .",%svd:,poder,0,1,1,p,pres,,switch,,,
843,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1403,.,porque no quiero quedarme xxx .%mor: conj|porque=because adv|no=no v|quere-1S&PRES=want inf|queda-INF~pro:clit|1S=stay .,%mor:,0,,,0,0,0,,,,,
844,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1403,v|quere-1s&pres=want,porque no quiero quedarme xxx .%mor: conj|porque=because adv|no=no v|quere-1S&PRES=want inf|queda-INF~pro:clit|1S=stay .,%svd:,querer,0,1,1,s,pres,,switch,,,
845,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1406,.,claro .%mor: co|claro=obvious .,%mor:,0,,,0,0,0,,,,,
846,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1408,.,ya no quiero .%mor: adv|ya=already adv|no=no v|quere-1S&PRES=want .,%mor:,0,,,0,0,0,,,,,
847,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1408,v|quere-1s&pres=want,ya no quiero .%mor: adv|ya=already adv|no=no v|quere-1S&PRES=want .,%svd:,querer,0,1,1,s,pres,,,,,
848,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1410,.,"quiero irme, y la idea es comprar y tal .%mor: v|quere-1S&PRES=want ?|irme cm|cm coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be inf|compra-INF=buy coord|y=and adj|tal=such .",%mor:,0,,,0,0,0,,,,,
849,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1410,v|quere-1s&pres=want,"quiero irme, y la idea es comprar y tal .%mor: v|quere-1S&PRES=want ?|irme cm|cm coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be inf|compra-INF=buy coord|y=and adj|tal=such .",%svd:,querer,0,1,1,s,pres,,same,,,
850,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1410,cop|se-3s&pres=be,"quiero irme, y la idea es comprar y tal .%mor: v|quere-1S&PRES=want ?|irme cm|cm coord|y=and det:art|el&f&SG=the n|idea&f=idea cop|se-3S&PRES=be inf|compra-INF=buy coord|y=and adj|tal=such .",%svd:,ser,DP-def,0,3,s,pres,,,,,
851,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1414,.,"porque, por qué, un alquiler ahora es, es muy caro .%mor: conj|porque=because cm|cm prep|por=for pro:int|qué=what cm|cm det:art|un&m=one n|alquiler&m=wages adv|ahora=now cop|se-3S&PRES=be cm|cm cop|se-3S&PRES=be adv|muy=very adj|caro-m=dear .",%mor:,0,,,0,0,0,,,,,
852,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1414,cop|se-3s&pres=be,"porque, por qué, un alquiler ahora es, es muy caro .%mor: conj|porque=because cm|cm prep|por=for pro:int|qué=what cm|cm det:art|un&m=one n|alquiler&m=wages adv|ahora=now cop|se-3S&PRES=be cm|cm cop|se-3S&PRES=be adv|muy=very adj|caro-m=dear .",%svd:,ser,DP-def,0,3,s,pres,,,,,
853,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1414,cop|se-3s&pres=be,"porque, por qué, un alquiler ahora es, es muy caro .%mor: conj|porque=because cm|cm prep|por=for pro:int|qué=what cm|cm det:art|un&m=one n|alquiler&m=wages adv|ahora=now cop|se-3S&PRES=be cm|cm cop|se-3S&PRES=be adv|muy=very adj|caro-m=dear .",%svd:,ser,0,0,3,s,pres,,,,,
854,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1418,!,"sí, carísimo !%mor: co|sí=yes cm|cm adj|caro-SUPER-m=dear !",%mor:,0,,,0,0,0,,,,,
855,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1420,.,nosotros estamos pagando cuatro mil pesos .%mor: pro:sub|nosotro-m-PL=we aux|esta-1P&PRES&PRET=be part|paga-PROG=pay det:num|cuatro=four det:num|mil=thousand n|peso&m-PL=weight .,%mor:,0,,,0,0,0,,,,,
856,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1420,aux|esta-1p&pres&pret=be,nosotros estamos pagando cuatro mil pesos .%mor: pro:sub|nosotro-m-PL=we aux|esta-1P&PRES&PRET=be part|paga-PROG=pay det:num|cuatro=four det:num|mil=thousand n|peso&m-PL=weight .,%svd:,estar,0,1,1,p,pres,,,,,
857,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1423,!,+< totalmente !%mor: adv:adj|total-ADV=total !,%mor:,0,,,0,0,0,,,,,
858,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1425,?,y en Paraguay dónde vivías vos ?%mor: coord|y=and prep|en=in n:prop|Paraguay pro:int|dónde=where v|vivi-2S&PAS=live pro:obj|vos=you ?,%mor:,0,,,0,0,0,,,,,
859,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1425,v|vivi-2s&pas=live,y en Paraguay dónde vivías vos ?%mor: coord|y=and prep|en=in n:prop|Paraguay pro:int|dónde=where v|vivi-2S&PAS=live pro:obj|vos=you ?,%svd:,vivir,1,1,2,s,pas,,,,,
860,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1428,.,en Asunción .%mor: prep|en=in n:prop|Asunción .,%mor:,0,,,0,0,0,,,,,
861,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,1430,?,"&ahh, en Asunción ?%mor: cm|cm prep|en=in n:prop|Asunción ?",%mor:,0,,,0,0,0,,,,,
862,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1432,!,perfecto !%mor: adj|perfecto-m=perfect !,%mor:,0,,,0,0,0,,,,,
863,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,1434,!,"mami, un avión !%mor: n|mami&f=mommy cm|cm det:art|un&m=one n|avión&f=airplane !",%mor:,0,,,0,0,0,,,,,
864,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1436,!,un avión !%mor: det:art|un&m=one n|avión&f=airplane !,%mor:,0,,,0,0,0,,,,,
865,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,1438,.,&vuuuuu .,%mor:,0,,,0,0,0,,,,,
866,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1439,!,+< yo no sé hacer un avión !%mor: pro:sub|yo=I adv|no=no v|sabe-1S&PRES=know inf|hace-INF=do det:art|un&m=one n|avión&f=airplane !,%mor:,0,,,0,0,0,,,,,
867,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,1439,v|sabe-1s&pres=know,+< yo no sé hacer un avión !%mor: pro:sub|yo=I adv|no=no v|sabe-1S&PRES=know inf|hace-INF=do det:art|un&m=one n|avión&f=airplane !,%svd:,saber,1,1,1,s,pres,,,,,
